Date,Open,High,Low,Close,Adj Close,Volume
2018-02-01,3720.000000,4182.000000,3720.000000,3825.550049,3814.653076,131018
2018-02-02,3798.600098,3875.449951,3650.000000,3687.750000,3677.245605,45663
2018-02-05,3649.000000,3749.949951,3550.000000,3697.350098,3686.818604,25759
2018-02-06,3447.000000,3685.000000,3414.050049,3622.149902,3611.832520,43734
2018-02-07,3690.000000,3909.350098,3690.000000,3852.250000,3841.277100,62928
2018-02-08,3879.000000,3880.100098,3489.949951,3513.100098,3503.093262,121077
2018-02-09,3460.000000,3575.750000,3311.000000,3458.300049,3448.449219,98116
2018-02-12,3525.000000,3550.000000,3425.000000,3436.399902,3426.611572,30709
2018-02-14,3465.750000,3485.000000,3342.050049,3356.250000,3346.689941,29745
2018-02-15,3359.000000,3395.000000,3273.000000,3284.550049,3275.194336,22032
2018-02-16,3299.000000,3324.399902,3201.000000,3215.149902,3205.991699,28397
2018-02-19,3269.000000,3269.000000,3110.100098,3156.850098,3147.858154,37323
2018-02-20,3156.100098,3219.000000,3100.000000,3114.149902,3105.279297,23538
2018-02-21,3139.699951,3250.000000,3120.000000,3229.399902,3220.201172,75553
2018-02-22,3229.000000,3290.000000,3170.000000,3265.899902,3256.597168,30715
2018-02-23,3265.899902,3335.000000,3265.000000,3285.449951,3276.091553,21863
2018-02-26,3300.000000,3414.000000,3287.250000,3365.750000,3356.162842,28962
2018-02-27,3380.000000,3475.000000,3371.600098,3456.800049,3446.953613,35695
2018-02-28,3448.000000,3500.000000,3398.300049,3454.750000,3444.909180,19533
2018-03-01,3487.000000,3635.000000,3457.199951,3543.449951,3533.356689,50660
2018-03-05,3536.899902,3546.800049,3470.000000,3476.300049,3466.398193,13941
2018-03-06,3490.000000,3549.000000,3490.000000,3521.250000,3511.219971,16115
2018-03-07,3505.000000,3511.649902,3431.000000,3475.399902,3465.500244,67819
2018-03-08,3510.000000,3530.000000,3393.649902,3456.300049,3446.454834,21028
2018-03-09,3497.000000,3497.000000,3421.199951,3451.750000,3441.917969,23168
2018-03-12,3475.000000,3483.250000,3408.000000,3458.949951,3449.097168,10706
2018-03-13,3494.000000,3543.199951,3468.000000,3490.199951,3480.258301,38333
2018-03-14,3491.949951,3545.000000,3401.000000,3514.649902,3504.638428,10059
2018-03-15,3485.000000,3520.000000,3451.000000,3469.800049,3459.916504,18273
2018-03-16,3488.000000,3488.000000,3411.000000,3447.550049,3437.729980,6328
2018-03-19,3474.250000,3479.750000,3387.050049,3403.649902,3393.954834,12702
2018-03-20,3384.449951,3395.000000,3281.000000,3292.449951,3283.071289,33807
2018-03-21,3327.899902,3380.000000,3250.949951,3307.949951,3298.527588,17579
2018-03-22,3332.750000,3398.000000,3215.000000,3291.399902,3282.024414,12170
2018-03-23,3206.000000,3260.000000,3177.500000,3204.300049,3195.172607,16968
2018-03-26,3199.699951,3290.000000,3125.000000,3254.899902,3245.628662,27223
2018-03-27,3270.000000,3317.000000,3251.500000,3268.850098,3259.539063,7172
2018-03-28,3269.000000,3331.000000,3180.000000,3291.050049,3281.675781,16865
2018-04-02,3359.000000,3359.000000,3211.000000,3246.800049,3237.551758,25255
2018-04-03,3275.000000,3325.000000,3246.800049,3298.199951,3288.805176,21197
2018-04-04,3329.949951,3368.000000,3282.350098,3352.250000,3342.701172,14050
2018-04-05,3368.850098,3943.399902,3368.850098,3609.350098,3599.068848,298297
2018-04-06,3639.000000,3660.000000,3510.000000,3545.350098,3535.251221,55233
2018-04-09,3568.000000,3762.699951,3564.600098,3669.199951,3658.748535,75013
2018-04-10,3669.000000,3703.500000,3609.949951,3636.850098,3626.490967,21100
2018-04-11,3659.949951,3720.000000,3580.100098,3644.750000,3634.368164,26389
2018-04-12,3669.000000,3690.000000,3590.000000,3606.649902,3596.376465,14201
2018-04-13,3601.000000,3660.000000,3575.250000,3597.350098,3587.103516,20057
2018-04-16,3559.899902,3600.000000,3530.000000,3542.149902,3532.060303,11835
2018-04-17,3555.050049,3570.500000,3425.250000,3441.899902,3432.095947,28787
2018-04-18,3456.000000,3518.899902,3415.000000,3451.100098,3441.270020,17011
2018-04-19,3453.000000,3489.899902,3410.000000,3430.149902,3420.379395,10378
2018-04-20,3405.100098,3452.500000,3371.050049,3394.649902,3384.980225,9768
2018-04-23,3395.000000,3516.000000,3395.000000,3415.949951,3406.219727,15870
2018-04-24,3428.000000,3489.000000,3407.000000,3429.500000,3419.731445,17525
2018-04-25,3438.949951,3488.800049,3369.949951,3393.699951,3384.033203,16581
2018-04-26,3399.000000,3483.000000,3399.000000,3454.800049,3444.959229,26313
2018-04-27,3472.000000,3559.949951,3450.000000,3463.199951,3453.335205,37449
2018-04-30,3460.000000,3661.050049,3460.000000,3624.500000,3614.175781,52325
2018-05-02,3600.500000,3636.000000,3469.899902,3489.449951,3479.510498,23784
2018-05-03,3490.000000,3538.000000,3402.000000,3425.550049,3415.792725,13919
2018-05-04,3420.000000,3690.000000,3405.649902,3625.699951,3615.372314,64791
2018-05-07,3644.949951,3731.050049,3540.949951,3671.350098,3660.892578,39059
2018-05-08,3683.699951,3710.000000,3610.000000,3672.149902,3661.690186,32702
2018-05-09,3672.000000,3709.699951,3655.000000,3691.850098,3681.334229,8513
2018-05-10,3699.000000,3699.000000,3630.000000,3662.199951,3651.768311,15228
2018-05-11,3685.000000,3695.000000,3591.000000,3608.850098,3598.570557,5120
2018-05-14,3640.000000,3705.050049,3550.050049,3670.199951,3659.745605,26894
2018-05-15,3698.000000,3698.000000,3620.100098,3637.750000,3627.388184,14372
2018-05-16,3635.000000,3670.000000,3561.649902,3650.500000,3640.101807,12714
2018-05-17,3630.000000,3670.000000,3600.000000,3623.500000,3613.178711,9886
2018-05-18,3601.050049,3640.100098,3527.000000,3550.300049,3540.187256,76970
2018-05-21,3586.000000,3586.000000,3450.000000,3469.149902,3459.268066,6542
2018-05-22,3490.000000,3506.600098,3411.050049,3469.649902,3459.767090,6329
2018-05-23,3459.850098,3467.199951,3375.000000,3391.399902,3381.739990,6907
2018-05-24,3430.000000,3444.000000,3380.100098,3403.949951,3394.254150,5224
2018-05-25,3427.949951,3480.000000,3400.000000,3416.149902,3406.419434,14126
2018-05-28,3435.050049,3537.949951,3375.000000,3424.250000,3414.496338,31440
2018-05-29,3424.000000,3454.850098,3385.000000,3408.850098,3399.140381,15071
2018-05-30,3407.949951,3425.000000,3391.750000,3411.550049,3401.832520,5414
2018-05-31,3425.000000,3433.250000,3175.000000,3251.449951,3242.188477,29274
2018-06-01,3309.949951,3360.000000,3250.000000,3272.199951,3262.879150,13592
2018-06-04,3310.000000,3325.000000,3210.699951,3230.899902,3221.696777,13807
2018-06-05,3230.000000,3246.550049,3150.000000,3181.649902,3172.586914,13868
2018-06-06,3181.000000,3228.699951,3140.000000,3187.000000,3177.922119,7247
2018-06-07,3188.000000,3244.699951,3185.899902,3207.300049,3198.164307,13275
2018-06-08,3230.000000,3230.000000,3180.000000,3196.050049,3186.946289,8180
2018-06-11,3240.000000,3418.949951,3179.949951,3203.399902,3194.275391,77148
2018-06-12,3220.000000,3255.899902,3180.050049,3199.600098,3190.486328,17084
2018-06-13,3229.750000,3229.750000,3175.000000,3184.449951,3175.379150,6299
2018-06-14,3196.699951,3196.699951,3140.000000,3151.600098,3142.622803,14809
2018-06-15,3165.000000,3170.000000,3110.000000,3123.050049,3114.154297,14927
2018-06-18,3140.800049,3140.800049,3058.100098,3065.300049,3056.568848,15005
2018-06-19,3059.750000,3059.750000,2950.000000,2965.149902,2956.703857,25053
2018-06-20,2962.000000,2990.949951,2876.000000,2932.100098,2923.748047,24909
2018-06-21,2932.100098,2978.000000,2900.000000,2914.750000,2906.447510,9557
2018-06-22,2901.000000,2962.000000,2860.000000,2926.949951,2918.612793,13214
2018-06-25,2930.000000,2970.000000,2882.000000,2917.899902,2909.588379,10770
2018-06-26,2917.000000,2946.949951,2882.800049,2924.449951,2916.119873,8173
2018-06-27,2935.000000,2959.949951,2865.050049,2893.649902,2885.407471,19534
2018-06-28,2898.899902,2927.949951,2852.000000,2878.050049,2869.852051,7477
2018-06-29,2860.000000,2949.000000,2860.000000,2930.050049,2921.704102,7158
2018-07-02,2954.899902,2954.899902,2774.550049,2873.800049,2865.614014,10760
2018-07-03,2899.000000,2943.300049,2846.000000,2921.300049,2912.979004,13114
2018-07-04,2939.000000,2943.000000,2880.000000,2891.800049,2883.562988,41483
2018-07-05,2880.000000,2900.000000,2862.899902,2885.250000,2877.031738,3765
2018-07-06,2896.000000,2920.000000,2865.000000,2887.600098,2879.375000,5758
2018-07-09,2875.100098,2931.399902,2875.100098,2919.550049,2911.233887,5855
2018-07-10,2906.000000,3077.000000,2906.000000,3028.449951,3019.823486,29688
